name,latitude,longitude
가리산,37.8056,127.6458
지리산,35.325,127.7308
설악산,38.1194,128.4656
한라산,33.3617,126.5292
속리산,36.5333,127.865
덕유산,35.8689,127.7533
치악산,37.4091,128.0005
팔공산,35.9003,128.6821
북한산,37.6586,126.9883
오대산,37.7892,128.5931
